Код лексемы,Вид лексемы,Значение лексемы
W50,Служебное слово,public
W11,Служебное слово,class
I6,Идентификатор,Program
R6,Разделитель,{
W50,Служебное слово,public
W60,Служебное слово,string
I16,Идентификатор,Str
R4,Разделитель,(
R5,Разделитель,)
R6,Разделитель,{
W60,Служебное слово,string
I2,Идентификатор,name
O11,Операция,=
C1,Константа,""""""
R1,Разделитель,;
W28,Служебное слово,for
R4,Разделитель,(
W34,Служебное слово,int
I9,Идентификатор,i
O11,Операция,=
C2,Константа,0
R1,Разделитель,;
I9,Идентификатор,i
O12,Операция,<
C3,Константа,10
R1,Разделитель,;
I9,Идентификатор,i
O16,Операция,++
R6,Разделитель,{
I2,Идентификатор,name
O25,Операция,+=
I9,Идентификатор,i
R1,Разделитель,;
R7,Разделитель,}
W53,Служебное слово,return
C4,Константа,"""Alex"""
R1,Разделитель,;
R7,Разделитель,}
W50,Служебное слово,public
W34,Служебное слово,int
I11,Идентификатор,fact
R4,Разделитель,(
W34,Служебное слово,int
I12,Идентификатор,x
R5,Разделитель,)
R6,Разделитель,{
W31,Служебное слово,if
R4,Разделитель,(
I12,Идентификатор,x
O12,Операция,<
C5,Константа,2
R5,Разделитель,)
W53,Служебное слово,return
C6,Константа,1
R1,Разделитель,;
W53,Служебное слово,return
I12,Идентификатор,x
O3,Операция,*
I11,Идентификатор,fact
R4,Разделитель,(
I12,Идентификатор,x
O2,Операция,-
C6,Константа,1
R5,Разделитель,)
R1,Разделитель,;
R7,Разделитель,}
W50,Служебное слово,public
W59,Служебное слово,static
W75,Служебное слово,void
I7,Идентификатор,main
R4,Разделитель,(
R5,Разделитель,)
R6,Разделитель,{
W28,Служебное слово,for
R4,Разделитель,(
W34,Служебное слово,int
I9,Идентификатор,i
O11,Операция,=
C2,Константа,0
R1,Разделитель,;
I9,Идентификатор,i
O12,Операция,<
C3,Константа,10
R1,Разделитель,;
I9,Идентификатор,i
O16,Операция,++
I13,Идентификатор,Console
R3,Разделитель,.
I14,Идентификатор,WriteLine
R4,Разделитель,(
I11,Идентификатор,fact
R4,Разделитель,(
I9,Идентификатор,i
R5,Разделитель,)
R5,Разделитель,)
R1,Разделитель,;
R7,Разделитель,}
R7,Разделитель,}
E0,Конец файла,EOF
