Код лексемы,Вид лексемы,Значение лексемы
W50,Служебное слово,public
W11,Служебное слово,class
I1,Идентификатор,Program
R6,Разделитель,{
W50,Служебное слово,public
W59,Служебное слово,static
W75,Служебное слово,void
I2,Идентификатор,main
R4,Разделитель,(
R5,Разделитель,)
R6,Разделитель,{
W34,Служебное слово,int
I3,Идентификатор,x
O11,Операция,=
C1,Константа,0
R1,Разделитель,;
W28,Служебное слово,for
R4,Разделитель,(
W34,Служебное слово,int
I4,Идентификатор,i
O11,Операция,=
C1,Константа,0
R1,Разделитель,;
I4,Идентификатор,i
O12,Операция,<
C2,Константа,10
R1,Разделитель,;
I4,Идентификатор,i
O16,Операция,++
R6,Разделитель,{
I3,Идентификатор,x
O25,Операция,+=
I4,Идентификатор,i
R1,Разделитель,;
R7,Разделитель,}
R7,Разделитель,}
R7,Разделитель,}
E0,Конец файла,EOF
